,Review_title,Review_text,Ratings
0,Fabulous!,After one month of usage for office work and multimedia I must say this is value for money product... Just boot in 5 sec...For office use it gives back of 4 to 5 hours at 33-35C...Full keyboard with backlit is good... Sound quality is above average...Due to SSD and processor speed and response is very quick....Free upgrade to Win 11 is available and OS is just work like charm...,5
1,Worth every penny,Laptop is worth the price. It is fast and smooth. The display is 120 Hz which is good but the display could have been better in terms of brigthness...brigthness feels bit low.,5
2,Great product,"I got it for 54k
For this price
Build Quality 9/10
plastic build but still it's amazing
Battery 6/10
It's a bit downgrade only 2-3 hours of screen time but for gaming laptop it's ok
Performance 10/10
for this price it's super fast. Don't ask boot up time cuz it's based on your apps and softwares
Gaming 10/10
Amazing performance for 1080p gaming at this price
Display 9/10
fast snappy 120hz display is not good for editing stuffs like that but for gaming it's super

Conclusion; If you'...
READ MORE",5
3,Great product,One of the best laptop in given prize segment... battery performance is very best and quality of laptop plastic in really good ....just Go for it😍,5
4,Awesome,Value for money just go for it✨,5
5,Good quality product,Nice and I love it good laptop with simple design,4
6,Wonderful,It's good product but some times it gets stuck over all it is good,4
7,Classy product,Very nice product...must go for it.. 👍👍👍👍,5
8,Value-for-money,Best laptop just go 4 it ... Just one thing battery is not giving as lenovo promises to live 8hr per single charge,4
9,Great product,good,5
10,Fabulous!,After one month of usage for office work and multimedia I must say this is value for money product... Just boot in 5 sec...For office use it gives back of 4 to 5 hours at 33-35C...Full keyboard with backlit is good... Sound quality is above average...Due to SSD and processor speed and response is very quick....Free upgrade to Win 11 is available and OS is just work like charm...,5
11,Worth every penny,Laptop is worth the price. It is fast and smooth. The display is 120 Hz which is good but the display could have been better in terms of brigthness...brigthness feels bit low.,5
12,Great product,"I got it for 54k
For this price
Build Quality 9/10
plastic build but still it's amazing
Battery 6/10
It's a bit downgrade only 2-3 hours of screen time but for gaming laptop it's ok
Performance 10/10
for this price it's super fast. Don't ask boot up time cuz it's based on your apps and softwares
Gaming 10/10
Amazing performance for 1080p gaming at this price
Display 9/10
fast snappy 120hz display is not good for editing stuffs like that but for gaming it's super

Conclusion; If you'...
READ MORE",5
13,Great product,One of the best laptop in given prize segment... battery performance is very best and quality of laptop plastic in really good ....just Go for it😍,5
14,Awesome,Value for money just go for it✨,5
15,Good quality product,Nice and I love it good laptop with simple design,4
16,Wonderful,It's good product but some times it gets stuck over all it is good,4
17,Classy product,Very nice product...must go for it.. 👍👍👍👍,5
18,Value-for-money,Best laptop just go 4 it ... Just one thing battery is not giving as lenovo promises to live 8hr per single charge,4
19,Great product,good,5
20,Must buy!,"Best for multitasking and gaming, Nice 🙂",5
21,Good quality product,Great Laptop. You can go for it.,4
22,Good choice,Laptop is good but battery performance is low.,4
23,Good,Except battery every thing good,3
24,Just okay,Model was very good. But the waranty was issued 6 months ago from the purchasing date.,3
25,Fabulous!,I loved it but the only problem in it is that there is no Microsoft Office in it.😔,5
26,Terrific,Nice for gaming 👍,5
27,Wonderful,"Except battery drain everything is ok...
Best budget laptop with high configuration
Battery also manageable 4hrs by keeping power saver mode.",4
28,Worth every penny,Awesome Product,5
29,Mind-blowing purchase,Good,5
30,Wonderful,Good,4
31,Must buy!,This is very smooth and good battery backup,5
32,Just wow!,"Good laptop , upto mark 😍",5
33,Hated it!,Worst product. Battery is not lasting,1
34,Bad quality,Normal,2
35,Utterly Disappointed,Speaker not working from next of delivery.,1
36,Super!,Awesome product value for money,5
37,Mind-blowing purchase,Super laptop fantastic 😊,5
38,Good quality product,Very good product,4
39,Bad quality,Battery long lasting is less,2
40,Good choice,It’s good product. I got this for my nephew and he liked it. Performance is good. The only thing is it’s little heavyweight.,4
41,Good quality product,Value for money.... Go for it....,4
42,Awesome,Execellent product with hig speed processing. battery life is only the corcern.,5
43,Brilliant,Excellent Product...,5
44,Perfect product!,"A wonderfull powerpacked pc, good enough to satisfy all your needs!👌",5
45,Wonderful,Nice laptop,5
46,Just okay,Nice laptop but heating issue and performance is not stable it throttle very much and gpu is not that powerful sometimes it runs gts V in 60 and something run in 40 there is issue in it,3
47,Wonderful,Good product,4
48,Good choice,All things good but battery not upto mark,4
49,Wonderful,Super laptop,5
50,Good choice,"Laptop is good 👍, performance is good till now",4
51,Nice product,In this price segment it's great and value for money,4
52,Brilliant,Lovely laptop in this budget,5
53,Good choice,Good for students life style .,4
54,Decent product,Ok,3
55,Great product,Good Product,5
56,Nice product,"Good product, it's price according",4
57,Excellent,Good product,5
58,Unsatisfactory,not proper work hanging issue and application not working,1
59,Did not meet expectations,"Such a terrible service from lenovo, from the first day it hits 97°c CPU temperature, when I complaint about it, lenovo shows me the CPU cutoff temperature which is 100°C, what a joke, so now I just do my normal work on it. Note: I was using cooling pad, so yah vents were not blocked.",1
60,Best in the market!,Best laptop with best performance,5
61,Value-for-money,It's overaly a good laptop in nomal usage the battery back up 6 to 7 hours depends on brightness,4
62,Terrific purchase,"I am into one week of purchase
Except for battery life everything is awesome",5
63,Highly recommended,Best laptop for gaming in low budget,5
64,Just wow!,SUPER FAST PROCESSING,5
65,Good choice,The laptop overheats at times and the games crash after a period of time I would recommend getting a cooling pad with it and upgrading storage later. Everything else works just fine,4
66,Must buy!,"Best for multitasking and gaming, Nice 🙂",5
67,Good quality product,Great Laptop. You can go for it.,4
68,Good choice,Laptop is good but battery performance is low.,4
69,Good,Except battery every thing good,3
70,Just okay,Model was very good. But the waranty was issued 6 months ago from the purchasing date.,3
71,Fabulous!,I loved it but the only problem in it is that there is no Microsoft Office in it.😔,5
72,Terrific,Nice for gaming 👍,5
73,Wonderful,"Except battery drain everything is ok...
Best budget laptop with high configuration
Battery also manageable 4hrs by keeping power saver mode.",4
74,Worth every penny,Awesome Product,5
75,Mind-blowing purchase,Good,5
76,Worth the money,"Best Lenovo laptop under 40000
If you are looking for 512gb SSD 8gb ram.
Lenovo IdeaPad series looks great.
For avg usage it's perfect rather more than avg user's can also go for this. Battery is the only thing which not met my expectations but it charges quickly. I am satisfied with keyboard feedback. Speaker are also okayish,
Lastly display is a bit whiteish we have to reduce brightness level since its TN display not IPS panel. Otherwise all good. Got it at 37500. Dont buy above 40k any d...
READ MORE",4
77,Worth every penny,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome.
The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5
78,Terrific,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5
79,Best in the market!,"One of the best student laptop money can buy, been using it for over a month now. It's fast and responsive and does not have heat issues.",5
80,Great product,A very good product for a given price. It's more than sufficient for daily use home and office purpose. Slim light weight with incredibly fast operations.,5
